target_lambda2,target_region,run_index,seed,num_parameters,preliminary_loss,preliminary_optimizer_success,preliminary_status,preliminary_message,preliminary_nit,preliminary_nfev,preliminary_njev,refined,refinement_loss,refinement_optimizer_success,refinement_status,refinement_message,refinement_nit,refinement_nfev,refinement_njev,final_total_loss,scientific_success,total_nit,total_nfev,total_njev,final_gradient_inf_norm,wall_time_s
1,upper_boundary,4,2026074204,274,2.9443626086528309e-07,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,107,116,116,True,1.2961114365301334e-15,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1201,1343,1343,1.2961114365301334e-15,True,1308,1459,1459,3.3463339784398512e-10,7.94620733
1,upper_boundary,6,2026074206,274,1.0230142567737499e-07,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,89,94,94,True,1.5568197008778887e-16,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,982,1053,1053,1.5568197008778887e-16,True,1071,1147,1147,3.4286078287391098e-12,6.95738487
1,upper_boundary,1,2026074201,274,7.4755836585590022e-07,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,97,101,101,True,2.3221511221735201e-14,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2926,3017,3017,2.3221511221735201e-14,True,3023,3118,3118,1.0829695131459305e-11,17.0490425
1,upper_boundary,7,2026074207,274,4.1414631338473645e-07,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,107,113,113,True,3.7607801473528356e-15,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1247,1351,1351,3.7607801473528356e-15,True,1354,1464,1464,1.5040898907740542e-11,8.81127492
1,upper_boundary,10,2026074210,274,5.9488247153695345e-08,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,140,147,147,True,6.8809029350316025e-16,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,690,707,707,6.8809029350316025e-16,True,830,854,854,7.0179100432752987e-12,5.47684058
1,upper_boundary,11,2026074211,274,3.5413921684302186e-07,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,100,111,111,True,2.594929401537072e-16,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1057,1192,1192,2.594929401537072e-16,True,1157,1303,1303,1.7347243366807503e-10,8.38473317
1,upper_boundary,13,2026074213,274,0.074016002208842163,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,82,88,88,False,,,,,0,0,0,0.074016002208842163,False,82,88,88,0.00010409061067358615,0.366583334
1,upper_boundary,8,2026074208,274,5.6535400178702503e-07,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,142,156,156,True,2.7666406039551591e-15,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2305,2628,2628,2.7666406039551591e-15,True,2447,2784,2784,6.8026249237627609e-11,16.2796042
1,upper_boundary,12,2026074212,274,1.0953521072105182e-07,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,124,139,139,True,1.1196502067869703e-16,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,962,1091,1091,1.1196502067869703e-16,True,1086,1230,1230,7.805044075834807e-11,6.40655996
1,upper_boundary,16,2026074216,274,0.074015965332749498,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,73,77,77,False,,,,,0,0,0,0.074015965332749498,False,73,77,77,1.3445998956166371e-05,0.453111375
